country,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,6,5,1,0,0,-2,0,10,6,2,32,6,11,15,8,0,52,26,43,34,1,29,38,30,56,61,37,0,34,110,49,70,10,51,63,88,0,96,84,0,50,237,0,240,124,0,344,0,298,0,0,755,168,171,0,478,361,262,303,259,113,714,349,262,408,583,490,531,540,736,716,512,737,548,637,643,784,651,656,742,775,624,1078,582,791,575,305,920,748,656,556,664,761,106,1241,463,541,419,536,310,338,159,535,85,356,351,271,121,403,260,302,348,279,113,320,210,59,541,157,100,4,285,200,130,159,60,186,34,106,112,188,66,55,121,106,105,103,71,0,168,0,0,37,82,67,41,78,39,0,215,76,79,7,120,45,0,3,0,160,97,38,59,46,71,43,16,11,3,0,19,34,47,45,0,16,94,96,26,24,28,34,35,75,56,43,40,17,11,36,125,30,22,49,25,16,6,35,12,15,14,17,5,7,44,81,64,62,68,77,10,96,71,58,66,32,47,68,59,87,88,0,49,116,61,81,65,104,95,113,123,66,91,76,132,95,86,121,40,58,126,138,166,146,186,174,66,205,163,225,223,377,215,60,203
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,9,4,3,11,19,0,15,19,23,28,12,11,15,11,20,34,0,0,56,0,44,0,23,9,7,0,30,0,29,0,19,24,30,0,14,47,25,0,44,0,34,14,10,30,7,0,16,6,8,17,12,0,18,6,12,0,4,4,4,18,35,13,2,0,16,5,0,12,8,15,25,21,26,23,23,14,7,36,20,36,15,20,14,17,36,42,44,31,48,57,69,82,50,66,50,0,53,104,52,67,78,77,61,72,64,69,45,82,90,67,74,71,74,68,82,90,93,83,117,96,85,99,55,0,102,82,81,119,68,108,104,67,126,117,117,108,92,79,120,123,101,130,139,127,135,124,136,125,140,141,154,146,143,120,119,155,158,155,152,156,152,178,154,168,156,112,84,101,133,93,122,116,123,135,153,151,147,151,156,161,164,168,167,152,144,132,125,153,159,150,131,121,134,124,108,106,132,127,131,157,159,152,149,144,158,162,169,167,165,168,171,182,203,257,289,273,281,295,301,297,302,306,302,299,288,284,311,275,319,241,327,321,381,396,421,489,495,501,525,563,507,410,490,532,597,602,694,711,786,836,737,565
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,7,0,5,0,0,3,0,0,5,0,12,12,0,11,12,10,8,0,45,62,30,33,0,41,62,42,45,57,73,263,139,185,80,0,172,45,104,94,95,64,89,69,87,90,108,150,116,95,89,93,99,97,120,129,126,135,132,199,158,148,141,179,174,190,159,185,187,189,165,168,176,186,189,188,191,198,182,176,165,186,190,195,193,197,194,160,140,137,133,127,119,113,107,98,104,115,104,111,117,102,105,109,112,109,112,116,121,117,119,127,140,149,156,172,197,240,283,305,298,336,365,385,413,430,441,463,475,469,460,434,470,483,494,527,554,585,593,601,535,607,587,594,612,675,0,1198,616,642,614,602,563,556,515,507,532,551,571,529,538,521,498,492,495,488,477,469,450,442,0,822,411,0,810,392,398,370,391,397,387,379,364,348,339,325,311,304,298,293,289,285,278,272,264,255,0,489,238,232,228,219,210,203,197,191,186,0,354,160,153,146,155,162,160,157,148,141,134,129,121,138,146,136,132,153,174,0,378,221,205,199,214,223,252,266,273,0,0,0,789,287,320,306,319,291,0,0,0,330,1897,0,0,2524,753,811,851,867,0,1704,910,1002,1038,1023,1103,1019,1088
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,25,0,36,19,39,1,31,48,18,58,32,20,29,6,20,0,33,13,24,57,17,11,15,23,13,20,17,12,8,14,21,9,1,13,1,5,1,2,7,5,2,1,1,2,2,0,1,2,2,0,1,0,2,0,2,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,79,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,15,3,0,0,4,0,5,0,8,0,7,3,4,7,4,3,5,6,1,2,0,6,11,0,0,7,10,4,4,8,8,0,8,7,12,12,11,0,0,13,0,38,13,13,0,0,52,8,15,9,7,0,0,46,0,40,0,43,0,0,94,0,45,0,81,0,0,117,0,72,0,83,0,0,130,0,84,0,60,0,0,260,0,198,0,128,0,0,299,0,195,0,187,0,0,246,0,188,0,227,0,0,287,85,107,50,98,91,69,63,22,135,90,0,184,64,54,40,90,49,109,0,147,42,37,67,48,76,65,49
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,2,6,0,0,1,0,0,0,7,2,0,0,0,3,0,0,0,2,2,6,2,0,0,9,0,2,0,2,8,3,2,0,0,0,0,0,0,5,1,4,17,5,12,8,2,2,0,13,11,0,6,4,7,6,8,15,0,47,8,9,8,7,24,13,18,7,0,33,10,62,4,21,23,19,16,35,31,31,49,18,44,30,33,39,29,36,16,18,50,78,31,0,39,16,116,64,51,88,55,34,100,7,56,27,53,37,27,27,29,31,49,29,24,66,37,51,61,49,83,56,80,73,30,75,48,28,71,59,30,16,52,59,125,62,56,53,51,130,106,114,59,53,90,0,245,127,112,115,82,46,79,108,67,142,97,159,0,160,0,333,95,73,215,120,122,192,166,250,126,240,160,207,220,289,244,247,197,355,263,227,203,195,289,247,230,193,349,236,289,121,112,98,247,136,137,104,171,146,77,164,203,104,212,133,146,80
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,0,2,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,5,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,6,0,0,3,0,0,0,2,0,0,0,0,3,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,4,1,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,7,3,0,0,5,2,12,14,0,11,9,32,0,27,30,0,67,76,0,201,0,87,101,55,75,146,88,79,132,88,98,103,74,87,80,134,46,0,277,84,141,121,96,90,55,121,113,124,143,139,222,137,54,127,182,103,172,56,149,118,123,154,229,225,150,244,110,244,285,410,161,345,326,263,303,438,474,648,718,704,723,552,600,705,769,0,1512,637,564,904,949,929,840,983,774,826,1141,1226,1386,1391,1531,1282,1208,1374,1393,1958,2060,1634,1581,2146,2285,2635,2606,2886,2401,2189,2335,2262,2667,2744,2845,2590,2439,2632,2979,3604,3663,3367,3449,2657,3099,3645,4250,3623,4518,3223,4231,4019,5344,5782,6127,5493,4801,4205,4890,5939,5641,6377,5929,5241,5376,4824,6792,7147,7513,7482,6134,4688,7369,7043,7663,7498,6365,6663,5469,4557,6840,6693,8225,8159,7759,5352,8713,8771,10550,10104,11717,9230,7187,9309,10504,10933,12026,10684,9924,6986,9215,12027,12259,11905,11507,10776,9056,9909,11892,11674,12701,11945,9276,8431,8782,12027,12625,13467,12969,11249,8841,11807,13477,14392,14001,14687,11129,7668,11242,14740,16447,15454,15099,12414,10324,9524,13305,14932,17096,16546,13510,10561,12982,18735,15928,16325,15718,11968,9253,11712,14308,13924,13267,13379,9745,6609,9598,13281,9516,11100,11786,8037,5331,8317,11977,10880,11163,11859,8468,5645,7893,10621,10332,10097,9608,7140
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,4,0,54,38,21,47,4,41,30,25,39,43,52,58,27,39,23,69,96,10,0,87,44,44,16,0,76,26,0,28,68,24,42,47,43,48,38,96,50,73,150,62,59,65,134,82,125,113,121,112,163,102,145,146,138,79,146,180,118,208,239,189,351,218,230,335,322,374,359,452,289,372,442,460,251,355,210,517,515,697,596,547,766,195,350,428,566,612,723,663,397,425,544,665,459,551,560,320,418,711,771,759,662,736,482,415,523,593,662,580,706,330,349,535,526,557,489,577,182,339,515,554,442,461,415,104,273,439,469,451,383,321,73,239,308,259,354,291,209,52,196,288,233,66,300,225,23,160,201,229,276,196,168,38,145,210,263,158,139,176,33,111,131,203,181,175,124,31,97,197,196,190,188,134,62,108,199,174,177,172,187,107,150,257,295,239,244,277,121,115,210,374,392,429,328,174,327,458,491,532,543,571,181,406,672,718,614,649,715,370,745,1058,1371,1465,1540,1694,766,1234,1836,2306,2474,2213,2314,973,1600,2241,2383,2398,2381,2441,1194,1328,2374,2413,2210,2476,2175,1042,1221,1861,2132,1703,1472,1482,549,984,1589,1520,1667,1193,1385,485
