,country,cumulative_cases,cumulative_deaths,mortality_rate
0,Yemen,2073,605,29.18
1,Mexico,1032688,101373,9.82
2,Montserrat,13,1,7.69
3,Sudan,16052,1197,7.46
4,Ecuador,185643,13201,7.11
5,Isle of Man,368,25,6.79
6,Bolivia (Plurinational State of),143922,8904,6.19
7,Chad,1642,101,6.15
8,Egypt,113027,6548,5.79
9,Fiji,35,2,5.71
10,Liberia,1554,82,5.28
11,Iran (Islamic Republic of),854361,44802,5.24
12,Syrian Arab Republic,7225,376,5.2
13,Niger,1368,70,5.12
14,China,92733,4749,5.12
15,Guernsey,283,13,4.59
16,United Republic of Tanzania,509,21,4.13
17,Jersey,806,32,3.97
18,Bermuda,227,9,3.96
19,Afghanistan,44706,1687,3.77
20,Peru,948081,35549,3.75
21,The United Kingdom,1512049,54751,3.62
22,Italy,1408868,49823,3.54
23,Canada,325711,11406,3.5
24,Nicaragua,4583,159,3.47
25,Guatemala,118629,4076,3.44
26,Mali,4255,145,3.41
27,Gambia,3726,123,3.3
28,Australia,27821,907,3.26
29,Indonesia,497668,15884,3.19
30,Tunisia,88711,2821,3.18
31,Malawi,6003,185,3.08
32,San Marino,1428,44,3.08
33,Sierra Leone,2405,74,3.08
34,Sweden,208295,6406,3.08
35,Algeria,74862,2275,3.04
36,Zimbabwe,9220,268,2.91
37,Antigua and Barbuda,139,4,2.88
38,Ireland,70461,2023,2.87
39,El Salvador,37562,1075,2.86
40,Bosnia and Herzegovina,80007,2276,2.84
41,Colombia,1240493,35104,2.83
42,Guyana,5093,143,2.81
43,Belgium,558683,15618,2.8
44,Chile,540640,15069,2.79
45,Brazil,6052786,168989,2.79
46,Turkey,446822,12358,2.77
47,North Macedonia,54743,1511,2.76
48,Spain,1556730,42619,2.74
49,Honduras,104435,2857,2.74
50,South Africa,767679,20903,2.72
51,Argentina,1366182,37002,2.71
52,Barbados,259,7,2.7
53,Viet Nam,1307,35,2.68
54,Democratic Republic of the Congo,12238,328,2.68
55,Kosovo[1],34252,904,2.64
56,Somalia,4445,113,2.54
57,Haiti,9214,232,2.52
